Time Minutes,Cumulative Keywords,Keywords This Page,Page Number
0,15,15,1
0.01,30,15,2
0.1,45,15,3
0.13,60,15,4
0.18,75,15,5
0.22,90,15,6
0.27,90,0,7
0.3,105,15,8
0.35,120,15,9
0.5,135,15,10
0.51,150,15,11
0.56,165,15,12
0.59,180,15,13
0.63,195,15,14
0.64,210,15,15
0.74,210,0,16
0.78,225,15,17
0.8,240,15,18
0.84,255,15,19
0.84,270,15,20
0.89,285,15,21
0.89,300,15,22
0.94,300,0,23
0.97,315,15,24
1.01,330,15,25
1.06,345,15,26
1.1,360,15,27
1.14,375,15,28
1.18,390,15,29
1.2,405,15,30
1.24,420,15,31
1.28,435,15,32
1.33,435,0,33
1.36,450,15,34
1.36,465,15,35
1.4,480,15,36
1.45,480,0,37
1.47,495,15,38
1.52,510,15,39
1.57,525,15,40
1.6,540,15,41
1.64,555,15,42
1.7,555,0,43
1.73,570,15,44
1.77,585,15,45
1.84,600,15,46
1.89,615,15,47
1.96,630,15,48
2.04,645,15,49
2.09,660,15,50
2.14,675,15,51
2.18,675,0,52
2.2,690,15,53
2.25,705,15,54
2.27,720,15,55
2.5,735,15,56
2.65,750,15,57
2.78,765,15,58
2.85,780,15,59
2.9,795,15,60
2.93,810,15,61
2.94,825,15,62
3.01,840,15,63
3.1,855,15,64
3.14,870,15,65
3.19,885,15,66
3.27,900,15,67
3.35,910,10,68
3.4,925,15,69
3.44,935,10,70
3.48,950,15,71
3.57,965,15,72
3.64,980,15,73
3.68,995,15,74
3.72,1010,15,75
3.81,1025,15,76
3.9,1040,15,77
3.95,1055,15,78
4,1070,15,79
4.08,1082,12,80
4.12,1097,15,81
4.17,1109,12,82
4.24,1124,15,83
4.3,1139,15,84
4.38,1154,15,85
4.43,1169,15,86
4.46,1184,15,87
4.56,1199,15,88
4.65,1214,15,89
4.69,1229,15,90
4.73,1244,15,91
4.81,1257,13,92
4.85,1272,15,93
4.88,1285,13,94
4.89,1300,15,95
4.93,1315,15,96
5.01,1330,15,97
5.06,1345,15,98
5.09,1360,15,99
5.12,1375,15,100
5.16,1390,15,101
5.2,1405,15,102
5.26,1405,0,103
5.3,1420,15,104
5.34,1435,15,105
5.39,1450,15,106
5.43,1465,15,107
5.46,1480,15,108
5.49,1495,15,109
5.52,1510,15,110
5.57,1510,0,111
5.61,1525,15,112
5.65,1540,15,113
5.7,1555,15,114
5.74,1570,15,115
5.78,1585,15,116
5.83,1585,0,117
5.87,1600,15,118
5.9,1615,15,119
5.95,1630,15,120
5.99,1645,15,121
6.05,1660,15,122
6.08,1675,15,123
6.16,1690,15,124
6.19,1705,15,125
6.23,1705,0,126
6.27,1705,0,127
6.3,1720,15,128
6.34,1735,15,129
6.39,1750,15,130
6.45,1765,15,131
6.49,1780,15,132
6.54,1780,0,133
6.58,1795,15,134
6.61,1810,15,135
6.66,1825,15,136
6.7,1840,15,137
6.73,1855,15,138
6.85,1870,15,139
6.89,1885,15,140
6.89,1900,15,141
7.09,1915,15,142
7.09,1930,15,143
7.14,1945,15,144
7.21,1960,15,145
7.25,1975,15,146
7.43,1990,15,147
7.47,2005,15,148
7.68,2020,15,149
7.71,2035,15,150
7.92,2050,15,151
7.96,2065,15,152
8.17,2080,15,153
8.22,2095,15,154
8.39,2110,15,155
8.43,2125,15,156
8.64,2140,15,157
8.68,2155,15,158
8.88,2170,15,159
8.9,2185,15,160
9.12,2200,15,161
9.17,2215,15,162
9.33,2230,15,163
9.37,2245,15,164
9.54,2260,15,165
9.58,2275,15,166
9.77,2290,15,167
9.81,2305,15,168
10.04,2320,15,169
10.09,2335,15,170
10.3,2350,15,171
10.32,2365,15,172
10.52,2380,15,173
10.56,2395,15,174
10.77,2410,15,175
10.8,2425,15,176
11.02,2440,15,177
